condition,arm,mean_mantel_r,mean_spearman_distance,n_stories
linear,human_vs_author,0.6275707511933624,0.4695205754619505,6
nonlinear,human_vs_author,0.6288627581264031,0.47256085357480965,6
atemporal,human_vs_author,0.6120473875426241,0.4792428752613156,6
linear,model_behavioural:Qwen-Qwen2.5-7B-Instruct,0.6984025293126388,0.2966559131096298,6
nonlinear,model_behavioural:Qwen-Qwen2.5-7B-Instruct,0.6870389008619678,0.31993440864252326,6
atemporal,model_behavioural:Qwen-Qwen2.5-7B-Instruct,0.661491045370299,0.304957761097096,6
linear,model_behavioural:mlx-community-Qwen2.5-14B-Instruct-4bit,0.5077659530260058,0.45159581612649685,6
nonlinear,model_behavioural:mlx-community-Qwen2.5-14B-Instruct-4bit,0.43944030334465806,0.5264899787542676,6
atemporal,model_behavioural:mlx-community-Qwen2.5-14B-Instruct-4bit,0.4309508083124763,0.5234013893239133,6
linear,probing:full_1_5b:author,0.6275707511933624,0.4695205754619505,6
linear,probing:full_1_5b:behavioural,0.22711354186935526,0.7977348619990798,6
linear,probing:full_1_5b:prompted,0.19275641163668303,0.8011861713842946,6
linear,probing:full_1_5b:reading,-0.00041326235508295134,0.9950797222566446,6
nonlinear,probing:full_1_5b:author,0.6288627581264031,0.47256085357480965,6
nonlinear,probing:full_1_5b:behavioural,0.11469143758684881,0.915898690753106,6
nonlinear,probing:full_1_5b:prompted,0.2567086410712774,0.7721264720252674,6
nonlinear,probing:full_1_5b:reading,0.012856708783727822,0.9771116245855217,6
atemporal,probing:full_1_5b:author,0.6120473875426241,0.4792428752613156,6
atemporal,probing:full_1_5b:behavioural,0.13260551506459814,0.8755721661235798,6
atemporal,probing:full_1_5b:prompted,0.19633435942138697,0.7932450911968987,6
atemporal,probing:full_1_5b:reading,-0.04967016662497858,1.0134684050032656,6
linear,probing:full_7b:author,0.6275707511933624,0.4695205754619505,6
linear,probing:full_7b:behavioural,0.5446915259561946,0.47675554990834984,6
linear,probing:full_7b:prompted,0.30284496992112253,0.6841772770422262,6
linear,probing:full_7b:reading,0.021557771241398477,1.0026936632639818,6
nonlinear,probing:full_7b:author,0.6288627581264031,0.47256085357480965,6
nonlinear,probing:full_7b:behavioural,0.5165251468987323,0.514072632236392,6
nonlinear,probing:full_7b:prompted,0.3396706380964935,0.6865895568958863,6
nonlinear,probing:full_7b:reading,0.03398580411165384,0.9733476748342939,6
atemporal,probing:full_7b:author,0.6120473875426241,0.4792428752613156,6
atemporal,probing:full_7b:behavioural,0.5644792641929467,0.4674863105283386,6
atemporal,probing:full_7b:prompted,0.250925988887767,0.7432942184535118,6
atemporal,probing:full_7b:reading,-0.0032967416553533867,1.005213510006497,6
